analysis_unit,women_over_65,proportion_indigenous,left_school_y10,single_parent_families,low_income_families,mother_low_education,severely_crowded,crowded,more_bedrooms_needed,Privately_rented,Total_admissions_u15,Adult_Total_admissions,preventable_admissions_u15,Adult_preventable_admissions,Aboriginal_unemployment,female_participation,IRSOI,Ante_natal_care_by_10w,smoking_pregnancy,immunised_by5,severe_disability,age_death,region,all_preventable_admissions,all_admissions,latent_v_community
IARE107001,0,0.82705271,20.726852,56,14.529915,50.943396,0,5.2419355,6.0810811,43.951613,14882.501,38573.016,,2846.7337,11.382114,26.344086,31.372549,65.060195,30,,2.1645022,61.5,1,,53455.52,-2.902694
IARE107002,6.8027579,0.56201969,44.770011,19,4.7029703,28.522337,75.431034,3.5560345,2.4663677,27.909483,7009.6059,22105.333,592.15664,783.19587,4.5851528,68.085106,1.7156863,46.394153,18.664198,90.1603,5.15625,82,1,1375.353,29114.94,1.484199
IARE107003,3.9586449,3.3993316,55.168023,58.050222,13.349849,51.187411,33.480937,17.172481,11.424258,27.983584,17817.654,40300.072,2733.0124,4119.5658,16.612272,46.393075,53.921569,66.344323,47.436044,98.057046,6.295251,54.5,1,6852.578,58117.73,-4.102105
IARE107004,4.4166104,2.726553,45.513024,36.724566,7.2178478,32.293292,0,7.8784468,4.8693587,27.912212,10831.794,26075.683,1906.4534,2395.4828,8.3445491,60.134003,4.6568627,60.344828,32.758621,94.117647,7.1700992,62,1,4301.936,36907.48,-0.5640163
IARE107005,7.4516681,2.0781519,44.342867,47.857143,5.6782334,28.846154,0,16.835443,11.057692,29.620253,14965.514,37897.693,2870.6491,2327.2301,7.7319588,60.120846,10.04902,81.081081,21.621622,,5.483871,72,1,5197.879,52863.21,-2.638776
IARE107006,2.4415996,2.8221214,50.201256,28.409091,7.4698795,31.25,15.487868,6.6081569,4.4496487,27.77491,12157.326,28780.231,1869.9906,1295.4313,8.0178174,70.32967,3.1862745,33.333154,20.952268,100,5.2120141,74,1,3165.422,40937.56,-0.4743895
IARE107007,3.28758,4.5563371,55.530727,53.891336,11.740042,45.100612,28.711366,14.524574,9.6997691,27.039351,15729.822,35448.694,2804.6154,2848.5338,14.232558,54.15677,35.294118,37.18593,38.944724,94.520548,7.5675676,59,1,5653.149,51178.52,-2.783488
IARE107008,7.3365681,0.85522185,48.656205,45.8159,10.526316,37.707006,23.818976,16.951171,12.130886,33.664152,9563.1474,33359.171,1346.755,2942.0989,12.178218,55.852156,20.588235,47.633799,34.96263,100,5.7286893,65,1,4288.854,42922.32,-1.333534
IARE104003,4.5301996,8.6024001,55.958707,46.107784,10.735989,52.932862,8.1037277,14.046461,9.0307044,38.19557,15837.789,30588.139,1620.7998,2091.4635,15.993907,51.626355,39.215686,24.140602,42.088799,98.576968,6.2116878,64,1,3712.263,46425.93,-1.541218
IARE107009,5.8560936,0.87339873,55.025399,58.805031,15.103339,39.960239,121.86865,16.452268,12.138728,33.784699,12068.438,31012.96,2073.3162,2138.9177,15.384615,46.538462,42.401961,48.074696,38.708241,94.969087,8.008982,62,1,4212.234,43081.4,-1.442966
IARE104006a,7.2768709,7.0919117,59.562788,37.341772,10.385757,47.222222,0,9.1584158,6.9333333,39.851485,12163.126,27142.938,1984.0207,1572.1701,15.57971,42.906574,41.666667,,30.555556,,7.3170732,,1,3556.191,39306.06,-0.7032284
IARE104007,5.0813373,3.3794761,49.614063,43.279022,9.1457286,37.572628,10.78516,11.281277,7.793345,37.273512,12943.472,32117.957,1976.8191,2144.5879,12.609367,56.508328,14.95098,45.760106,33.724083,98.10942,6.0427206,63,1,4121.407,45061.43,-1.40736
IARE104008a,7.4461619,6.1816095,57.130403,55.706522,12.722298,51.010886,0,14.551422,9.6590909,42.778993,15417.91,35596.211,2095.6811,1965.6965,18.817204,43.906511,58.578431,,48.192771,,8.6193745,,1,4061.377,51014.12,-2.256438
IARE107010,5.2301497,4.419406,57.236568,33.266932,9.8477157,43.198091,43.478261,12.826087,8.153702,30.73913,12730.838,27658.916,1661.4832,1480.9932,9.7280335,55.345912,14.705882,39.387746,31.547811,98.354775,6.08914,59,1,3142.476,40389.75,-0.6123975
IARE107011,6.694837,1.0415895,55.174084,49.5,12.562814,50.814332,0,15.974441,11.498973,39.084132,9963.4492,34313.665,1900.477,2469.2962,12.113402,59.07781,19.852941,59.712645,38.415246,100,5.3231939,73.5,1,4369.773,44277.11,-1.440195
IARE107012,5.8140011,0.36978219,37.024518,19.54023,7.0866142,14.336918,0,5.9954751,5.9080963,34.049774,8605.182,21081.926,1217.4367,1609.7841,8.2405345,66.257669,1.4705882,51.091863,,96.715736,4.5392022,79,1,2827.221,29687.11,0.8660489
IARE107013,9.0492336,0.4473718,35.818774,36.781609,4.9261084,28.682171,0,5.6433409,4.7058824,35.440181,9170.2837,36562.412,,1638.1056,7.0539419,65.921788,2.2058824,66.052739,,,4.6454768,76,1,,45732.7,-1.336901
IARE107014,4.5134291,0.63570953,46.646219,40.25974,7.2222222,27.853881,0,18.836915,12.470588,41.213654,9503.6009,21359.256,,1534.7181,9.5959596,63.949843,6.372549,60.808449,46.838623,100,4.2253521,75.5,1,,30862.86,0.8077908
IARE104011,5.3151608,4.7028539,55.330833,40.999432,9.7379392,44.313454,0,10.340479,6.8007409,30.390921,14481.557,29714.474,1417.6848,1860.2368,15.204678,55.933485,21.813725,29.533734,32.757229,96.819407,6.0460139,61.5,1,3277.922,44196.03,-1.022457
IARE107016,4.6180129,1.2840097,40.797483,46.153846,13.425926,31.060606,0,14.606742,8.2018927,34.831461,11503.813,31907.102,2777.2332,1878.86,12.406015,58.730159,5.3921569,51.162791,37.209302,91.666667,5.8027079,64,1,4656.093,43410.91,-1.408481
IARE105015a,6.510184,6.4739116,53.160252,44.649446,13.81323,46.347032,71.54213,12.00318,6.4976228,28.616852,19886.612,22527.856,,1624.4721,15.418502,49.773756,38.72549,,45.593077,,6.9811321,65.5,1,,42414.47,-1.241636
IARE107017,4.548904,1.7695736,54.362478,51.811024,11.294526,43.560606,58.079945,15.100786,10.779817,32.490605,12526.151,39732.756,2159.0936,3254.2678,12.68151,49.903661,40.196078,27.584819,39.132616,95.168432,7.3904762,59,1,5413.361,52258.91,-2.854903
IARE104013,3.811912,6.2021939,56.762182,42.151482,10.197775,42.75686,0,9.1844417,5.5100927,37.264743,15922.335,35393.013,1677.5355,2950.6123,16.122715,56.433409,26.470588,27.934158,36.937818,97.694388,6.4951497,55.5,1,4628.148,51315.35,-2.310896
IARE107019,5.7399069,1.74884,36.814486,52.873563,11.27451,30.038023,0,14.86854,9.6930533,31.459655,17491.695,33637.292,2490.7767,3090.6636,12.914485,57.289528,6.127451,36.081501,39.830508,95.085849,5.893019,57,1,5581.44,51128.99,-2.600164
IARE102009,2.8937363,9.9132433,60.958617,50,12.040816,51.953125,0,7.5442648,4.8986486,44.803695,18466.871,40256.683,1788.56,4232.9103,21.212121,49.880096,55.147059,27.272727,49.586777,100,4.1176471,51,1,6021.47,58723.55,-3.746463
IARE104014,3.9053248,4.0556196,51.070416,46.58444,11.298077,40.57623,0,11.630124,7.406095,38.28408,16340.244,36904.285,1930.4772,2493.506,15.523933,57.423251,15.931373,34.071798,38.729776,99.436949,5.9614409,58.5,1,4423.983,53244.53,-2.385133
IARE107020,6.405047,0.64817317,36.251786,23.569024,4.8854962,18.472906,0,8.962963,6.4602961,27.333333,8616.0629,25638.608,1183.4274,1403.1075,3.9492243,66.869919,1.2254902,29.787234,,88.235294,4.2,75,1,2586.535,34254.67,0.3971225
IARE107021,5.6034941,0.81494602,48.23706,51.555556,13.872832,43.965517,30.58104,15.214067,10.123119,30.810398,13509.423,34220.649,1883.3941,3135.946,15.532286,53.557312,25.980392,58.765304,43.627487,95.461675,6.4581917,57.5,1,5019.34,47730.07,-2.136676
IARE107022,3.7074128,4.7657159,52.074804,42.28739,8.6802194,43.787202,38.084875,10.976605,7.7819878,36.207835,15165.212,28636.891,2355.8201,2352.9325,11.62492,55.656451,16.666667,63.980605,39.099144,98.984816,5.3773241,61,1,4708.752,43802.1,-1.519118
IARE104016,4.0264837,5.7104284,57.53226,42.524005,10.925645,45.592949,0,9.8320611,6.5337001,36.152672,16987.23,32923.354,1810.0784,1886.5699,14.065041,53.717472,29.166667,22.08801,32.828583,97.695286,6.1339093,62,1,3696.648,49910.58,-1.81939
IARE107023,6.5330202,1.879956,36.77507,55.223881,11.390533,31.725417,0,16.015625,10.869565,26.116071,17035.269,37020.557,2367.8072,2699.4145,10.814249,53.386454,19.117647,72.649573,36.752137,91.666667,5.1036683,59,1,5067.222,54055.83,-2.809796
IARE107024,4.9369695,0.80409277,41.895246,43.650794,7.4433657,30.726257,0,19.246862,12.082262,56.345886,9726.3678,22951.046,,1010.6363,7.8085642,65.979381,3.4313725,56.994182,24.787681,100,4.0925267,71.5,1,,32677.41,0.4864074
IARE104018,4.2496445,6.7228374,61.801584,37.307692,9.1976517,53.02714,31.274433,11.727912,8.462867,30.258014,13768.807,27362.458,1005.218,1841.861,10.940499,53.140097,25.735294,33.519581,31.03985,96.944468,5.6581986,64.5,1,2847.079,41131.27,-0.5940692
IARE107025,5.987081,1.2940366,39.922179,26.550388,6.7906977,26.403061,37.831021,7.0617907,4.975923,27.490542,11466.721,22831.251,752.68202,1302.6724,6.2937063,64.500602,2.4509804,54.772874,28.003575,100,4.4879171,69,1,2055.354,34297.97,0.5894102
IARE107026,6.2529856,1.5603378,39.477188,71.959459,15.899582,34.937238,55.045872,13.990826,9.5272727,25.59633,15731.336,44998.852,2748.5743,5238.2631,13.896714,50.266809,11.519608,46.379893,54.556893,96.782532,6.6133109,56.5,1,7986.837,60730.19,-4.51549
IARE107027,6.1772298,0.53703713,38.902575,48.823529,9.0185676,30.952381,66.371681,11.615044,9.4161959,43.69469,10384.728,24213.067,1874.1669,1636.5534,7.9331942,65.57377,3.6764706,37.934211,18.723948,94.986455,3.6842105,63,1,3510.72,34597.8,-0.0596679
IARE107028,3.9657679,0.30150841,26.4732,22.535211,2.283105,11.214953,0,10.180995,9.4936709,48.41629,14809.26,27003.235,,1699.171,6.3973064,78.238342,0.24509804,59.994849,,,4.245283,66,1,,41812.5,-0.8650712
IARE107029a,5.0054507,3.8449215,53.316557,28.26087,4.9459042,35.700935,26.666667,7.8666667,4.4843049,25.866667,14039.296,24962.631,3007.0411,1435.9644,7.9632466,63.672655,5.8823529,42.5,,,5.2736318,,1,4443.005,39001.93,-0.8279923
IARE107030a,5.1541567,3.0506587,50.61296,46.509599,11.391824,43.756968,53.445314,14.029395,9.1844512,27.906089,11287.572,29869.17,,2492.3211,14.250248,51.699946,20.833333,57.337884,42.662116,0,5.3722903,,1,,41156.74,-0.9246016
IARE107031,1.9354898,0.45428822,28.009502,22.058824,1.8404908,2.9126214,0,12.566845,11.693548,48.930481,13750.97,33250.076,1402.5111,1775.999,10.080645,66.216216,0.73529412,62.17753,,,1.1331445,,1,3178.51,47001.05,-1.20309
IARE104021,4.5534699,5.8366016,55.852048,45.449406,10.498442,46.918768,0,11.376774,8.1142211,40.291645,14235.788,33447.755,2390.7736,2418.326,14.450665,54.773083,23.284314,48.951974,34.618054,98.463212,6.9611051,64,1,4809.1,47683.54,-1.967722
IARE102001,4.2219964,8.3723093,53.064577,54.421769,13.152805,42.48366,141.71288,13.986445,6.2780269,31.669747,21102.199,42108.042,4020.129,4536.3702,23.752495,41.216216,66.421569,33.163686,57.980824,92.471245,4.3392505,53,2,8556.499,63210.24,-5.268964
IARE104001,6.4815308,3.9735949,48.586441,49.042146,10.056926,41.216216,0,12.876506,9.1338583,36.295181,19032.646,42166.669,4562.2881,3954.8686,15.966387,45.041322,36.519608,43.076923,49.230769,95.744331,6.2848051,60,2,8517.156,61199.32,-4.868093
IARE104002,6.6476804,2.3205657,41.268682,42.056075,8.2987552,18.867925,0,14.311594,8.5616438,36.413043,10938.861,28239.449,1939.4839,2268.864,8.75,55.607477,10.539216,30.112498,20.066556,,5.9701493,64,2,4208.348,39178.31,-0.8593718
IARE104004,5.7827314,7.6932364,54.111755,50.23622,12.280702,46.91689,61.848958,16.373698,9.9118943,39.160156,16241.582,40292.418,2781.8574,3234.2886,24.708378,43.081181,60.04902,26.754251,38.814902,96.680515,6.7482517,60,2,6016.146,56534,-3.565374
IARE104005,5.7177338,6.3454068,54.464117,53.031674,12.402344,47.797131,35.023041,16.75576,10.458333,36.645161,12831.058,37632.415,2253.3756,3847.4609,19.249862,46.708464,49.509804,41.119032,42.381821,96.261674,6.4466105,62,2,6100.836,50463.47,-2.932547
IARE102002,8.6154495,7.4705275,51.990217,54.255319,19.20904,46.067416,0,7.7079108,6.4102564,42.799189,17409.279,44550.228,2101.3893,5403.6053,22.292994,48.366013,58.088235,44.736842,44.736842,81.25,4.5643154,66,2,7504.995,61959.51,-4.5672
IARE104006b,7.2768709,7.0919117,59.562788,37.341772,10.385757,47.222222,0,9.1584158,6.9333333,39.851485,12163.126,27142.938,1984.0207,1572.1701,15.57971,42.906574,41.666667,,30.555556,,7.3170732,,2,3556.191,39306.06,-0.7032284
IARE104008b,7.4461619,6.1816095,57.130403,55.706522,12.722298,51.010886,0,14.551422,9.6590909,42.778993,15417.91,35596.211,2095.6811,1965.6965,18.817204,43.906511,58.578431,,48.192771,,8.6193745,,2,4061.377,51014.12,-2.256438
IARE102003,6.1601743,15.347824,58.655638,50.803859,12.316176,44.684385,0,11.680727,7.4695122,44.841012,19108.071,38025.644,3762.1976,3235.2982,17.668488,50.679612,43.382353,23.265516,51.933497,100,4.6955246,68,2,6997.496,57133.71,-3.849984
IARE102004,10.175927,11.458692,59.192223,41.860465,13.548387,41.772152,0,18.735892,10.227273,29.571106,25151.838,42349.835,4182.4633,3897.0506,18.803419,41.726619,75,36.300632,47.556622,,6.0538117,43,2,8079.514,67501.67,-5.733493
IARE102005,5.6702453,9.6403514,57.161724,59.428571,19.607843,53.385827,107.07912,17.965497,10.694444,40.987507,18495.686,44181.577,2301.0593,3761.9165,24.103586,42.831858,70.343137,32.859909,46.562132,99.864346,6.6720257,58.5,2,6062.976,62677.26,-4.314392
IARE104009,5.8961808,14.244419,51.140038,62.541806,14.511352,46.689304,39.60396,19.669967,11.75,35.082508,16802.763,48354.287,2710.3598,4411.7817,21.300138,34.917733,71.568627,50.364964,57.664234,97.478992,6.5196548,57,2,7122.142,65157.05,-5.02394
IARE104010,3.3019523,5.124053,60.405566,59.090909,9.7744361,40.677966,0,18.032787,8.6705202,37.704918,20116.605,60033.813,4984.6904,4763.2407,23.232323,33.571429,74.754902,50.76959,59.162304,,6.6805846,62.5,2,9747.931,80150.42,-7.524419
